 ,Label,Area,Mean,Perim.,Circ.,AR,Round,Solidity
101,20200626004-1-1-1-S7.2.jpg,1.455,255,5.067,0.712,2.453,0.408,0.902
102,20200626004-1-1-1-S7.2.jpg,2.535,255,7.500,0.566,2.562,0.390,0.790
103,20200626004-1-1-1-S7.2.jpg,0.147,255,1.363,0.994,1.165,0.858,0.889
104,20200626004-1-1-1-S7.2.jpg,16.611,255,21.763,0.441,1.827,0.547,0.780
105,20200626004-1-1-1-S7.2.jpg,1.447,255,4.724,0.815,1.645,0.608,0.906
106,20200626004-1-1-1-S7.2.jpg,0.345,255,2.090,0.993,1.364,0.733,0.895
107,20200626004-1-1-1-S7.2.jpg,0.338,255,2.090,0.972,1.307,0.765,0.893
108,20200626004-1-1-1-S7.2.jpg,0.103,255,1.070,1.000,1.319,0.758,0.933
109,20200626004-1-1-1-S7.2.jpg,3.042,255,14.272,0.188,2.389,0.419,0.502
110,20200626004-1-1-1-S7.2.jpg,0.977,255,4.352,0.648,2.785,0.359,0.850
111,20200626004-1-1-1-S7.2.jpg,0.125,255,1.313,0.911,1.686,0.593,0.872
112,20200626004-1-1-1-S7.2.jpg,1.043,255,5.046,0.515,3.725,0.268,0.840
113,20200626004-1-1-1-S7.2.jpg,6.032,255,9.176,0.900,1.170,0.855,0.949
114,20200626004-1-1-1-S7.2.jpg,2.358,255,7.157,0.579,1.960,0.510,0.791
115,20200626004-1-1-1-S7.2.jpg,2.652,255,7.843,0.542,2.389,0.419,0.793
116,20200626004-1-1-1-S7.2.jpg,0.118,255,1.191,1.000,1.234,0.810,0.889
117,20200626004-1-1-1-S7.2.jpg,0.580,255,2.847,0.900,1.404,0.712,0.908
118,20200626004-1-1-1-S7.2.jpg,2.608,255,7.541,0.576,1.979,0.505,0.772
119,20200626004-1-1-1-S7.2.jpg,14.231,255,18.582,0.518,1.337,0.748,0.819
120,20200626004-1-1-1-S7.2.jpg,0.331,255,2.241,0.827,1.602,0.624,0.891
121,20200626004-1-1-1-S7.2.jpg,0.059,255,0.849,1.000,1.416,0.706,0.800
122,20200626004-1-1-1-S7.2.jpg,0.309,255,1.969,1.000,1.040,0.961,0.894
123,20200626004-1-1-1-S7.2.jpg,0.705,255,3.160,0.887,1.313,0.762,0.919
124,20200626004-1-1-1-S7.2.jpg,0.059,255,0.778,1.000,1.229,0.814,0.941
125,20200626004-1-1-1-S7.2.jpg,0.492,255,3.039,0.670,2.793,0.358,0.807
126,20200626004-1-1-1-S7.2.jpg,0.838,255,3.624,0.801,1.929,0.518,0.908
127,20200626004-1-1-1-S7.2.jpg,0.838,255,3.382,0.920,1.312,0.762,0.923
128,20200626004-1-1-1-S7.2.jpg,0.110,255,1.262,0.869,1.688,0.593,0.811
129,20200626004-1-1-1-S7.2.jpg,0.051,255,0.778,1.000,1.380,0.725,0.875
130,20200626004-1-1-1-S7.2.jpg,10.168,255,20.338,0.309,3.065,0.326,0.632
131,20200626004-1-1-1-S7.2.jpg,30.012,255,34.732,0.313,1.747,0.573,0.753
132,20200626004-1-1-1-S7.2.jpg,1.227,255,4.402,0.796,1.715,0.583,0.879
133,20200626004-1-1-1-S7.2.jpg,1.300,255,5.197,0.605,2.890,0.346,0.885
134,20200626004-1-1-1-S7.2.jpg,1.837,255,5.501,0.763,1.920,0.521,0.899
135,20200626004-1-1-1-S7.2.jpg,0.242,255,1.777,0.965,1.233,0.811,0.892
136,20200626004-1-1-1-S7.2.jpg,0.757,255,3.453,0.798,1.950,0.513,0.888
137,20200626004-1-1-1-S7.2.jpg,0.066,255,0.899,1.000,1.542,0.648,0.857
138,20200626004-1-1-1-S7.2.jpg,6.282,255,18.281,0.236,1.124,0.890,0.508
139,20200626004-1-1-1-S7.2.jpg,0.816,255,4.795,0.446,2.988,0.335,0.714
